iter	Passed	Remaining
173	694	3297
174	696	3283
175	698	3270
176	700	3255
177	703	3247
178	706	3239
179	708	3226
180	709	3209
181	711	3196
182	713	3184
183	719	3189
184	721	3178
185	723	3165
186	725	3153
187	727	3140
188	728	3128
189	731	3120
190	734	3112
191	737	3104
192	739	3092
193	741	3081
194	743	3069
195	749	3076
196	752	3065
197	753	3053
198	755	3041
199	757	3029
200	759	3018
201	764	3018
202	766	3010
203	768	3000
204	771	2990
205	778	3001
206	781	2992
207	783	2982
208	785	2971
209	787	2961
210	791	2959
211	794	2952
212	796	2942
213	798	2932
214	800	2922
215	802	2912
216	809	2920
217	811	2911
218	813	2901
219	816	2895
220	818	2886
221	822	2882
222	825	2876
223	827	2867
224	830	2859
225	832	2850
226	839	2857
227	841	2848
228	843	2839
229	845	2830
230	847	2821
231	850	2815
232	853	2808
233	855	2801
234	858	2793
235	859	2784
236	861	2774
237	865	2770
238	867	2761
239	869	2752
240	871	2744
241	873	2736
242	875	2727
243	877	2718
244	880	2714
245	884	2709
246	886	2703
247	888	2695
248	890	2687
249	892	2678
250	899	2683
251	902	2678
252	905	2672
253	907	2663
254	909	2656
255	912	2652
256	915	2646
257	917	2638
258	919	2631
259	921	2623
260	923	2615
261	935	2635
262	938	2629
263	943	2629
264	946	2624
265	948	2616
266	950	2609
267	952	2601
268	954	2594
269	956	2587
270	959	2579
271	961	2573
272	963	2566
273	966	2559
274	970	2558
275	973	2554
276	975	2546
277	977	2539
278	979	2532
279	987	2539
280	990	2533
281	992	2527
282	995	2521
283	998	2518
284	1001	2513
285	1004	2508
286	1009	2508
287	1019	2520
288	1022	2515
289	1028	2519
290	1034	2520
291	1037	2515
292	1040	2511
293	1050	2522
294	1056	2524
295	1064	2532
296	1077	2551
297	1081	2547
298	1085	2543
299	1093	2552
300	1100	2554
301	1106	2557
302	1111	2555
303	1114	2551
304	1117	2546
305	1123	2549
306	1126	2543
307	1129	2538
308	1140	2549
309	1154	2570
310	1162	2575
311	1175	2591
312	1177	2584
313	1180	2578
314	1184	2575
315	1187	2570
316	1191	2567
317	1194	2562
318	1197	2556
319	1200	2550
320	1203	2545
321	1210	2549
322	1214	2545
323	1217	2540
324	1228	2551
325	1230	2544
326	1233	2538
327	1236	2533
328	1241	2531
329	1243	2525
330	1246	2518
331	1248	2512
332	1258	2521
333	1262	2517
334	1265	2511
335	1270	2511
336	1274	2506
337	1276	2501
338	1279	2494
339	1288	2500
340	1291	2495
341	1296	2494
342	1301	2493
343	1303	2486
344	1305	2479
345	1308	2472
346	1310	2466
347	1312	2459
348	1314	2452
349	1316	2444
350	1318	2438
351	1322	2434
352	1324	2427
353	1326	2421
354	1328	2414
355	1330	2406
356	1332	2399
357	1335	2394
358	1338	2390
359	1341	2385
360	1343	2378
361	1345	2371
362	1347	2365
363	1350	2360
364	1354	2355
365	1356	2348
366	1358	2342
367	1360	2335
368	1362	2329
369	1369	2332
370	1371	2325
371	1373	2318
372	1375	2312
373	1377	2305
374	1381	2302
375	1384	2297
376	1386	2290
377	1387	2283
378	1389	2277
379	1391	2270
380	1404	2282
381	1406	2275
382	1409	2271
383	1412	2266
384	1415	2260
385	1417	2254
386	1419	2247
387	1421	2241
388	1427	2242
389	1429	2236
390	1431	2229
391	1433	2223
392	1435	2217
393	1437	2211
394	1440	2206
395	1442	2200
396	1445	2195
397	1447	2188
398	1448	2182
399	1451	2177
400	1458	2179
401	1460	2173
402	1462	2167
403	1464	2160
404	1467	2155
405	1471	2152
406	1473	2147
407	1476	2141
408	1478	2135
409	1480	2130
410	1482	2124
411	1489	2126
412	1491	2120
413	1494	2114
414	1496	2109
415	1498	2103
416	1502	2100
417	1505	2096
418	1507	2090
419	1510	2085
420	1512	2079
421	1519	2081
422	1521	2075
423	1524	2071
424	1528	2067
425	1534	2067
426	1540	2067
427	1542	2061
428	1549	2063
429	1552	2057
430	1554	2051
431	1556	2046
432	1558	2040
433	1562	2037
